"week","Average since 2015","40-year average"
1,0.9,2.4
2,0,4.7
3,3,3.4
4,3.5,2.5
5,1,3
6,0.2,2.5
7,0.7,4.8
8,0.2,4.6
9,0.2,5.1
10,0.1,3
11,0.5,5.2
12,0.6,3.5
13,1.1,4
14,2.7,7.5
15,1.5,10.6
16,0.3,10.3
17,0.2,12.3
18,1.9,9.4
19,0,10.8
20,2.5,12.6
21,1.5,17.6
22,5.6,18.5
23,28.6,21.2
24,15.3,18.6
25,12,15.4
26,12.6,21.6
27,3.6,22.6
28,5.2,18.5
29,23,19.6
30,12.8,17.4
31,16.8,16.3
32,3.2,18
33,11.7,14.3
34,15.3,11.9
35,4.3,15.7
36,3,10.2
37,1.2,9.4
38,3.9,10.8
39,2.2,9.7
40,0.6,7.8
41,0.6,9.6
42,1.8,4.7
43,0.7,9.1
44,8.7,6.1
45,0.2,5.6
46,2.6,8.8
47,3.5,6
48,0.3,4.8
49,0,4.1
50,8.9,3.1
51,1.3,4.8
52,0.7,2.3
