test,MBps,product,Maximum,RelativeSpeed
car,222,Databricks SparkCSV,1000,0.222
car,18,Dato SFrame,1000,0.018
car,,NumPy loadtxt,1000,
car,59,Pandas read_csv,1000,0.059
car,58,R fread,1000,0.058
car,,R read.csv,1000,
car,41,R readr,1000,0.041
car,397,Wise ParaText,1000,0.397
car,1000,I/O bandwidth,1000,1
floats4,21,Databricks SparkCSV,4000,0.00525
floats4,297,Dato SFrame,4000,0.07425
floats4,7.8,NumPy loadtxt,4000,0.00195
floats4,99,Pandas read_csv,4000,0.02475
floats4,93,R fread,4000,0.02325
floats4,,R read.csv,4000,
floats4,74,R readr,4000,0.0185
floats4,2530,Wise ParaText,4000,0.6325
floats4,4000,I/O bandwidth,4000,1
mnist8m,128,Databricks SparkCSV,1000,0.128
mnist8m,36,Dato SFrame,1000,0.036
mnist8m,2.3,NumPy loadtxt,1000,0.0023
mnist8m,18,Pandas read_csv,1000,0.018
mnist8m,62,R fread,1000,0.062
mnist8m,7.2,R read.csv,1000,0.0072
mnist8m,19,R readr,1000,0.019
mnist8m,565,Wise ParaText,1000,0.565
mnist8m,1000,I/O bandwidth,1000,1
messy2,,Databricks SparkCSV,1000,
messy2,120,Dato SFrame,1000,0.12
messy2,,NumPy loadtxt,1000,
messy2,69,Pandas read_csv,1000,0.069
messy2,73,R fread,1000,0.073
messy2,1.8,R read.csv,1000,0.0018
messy2,47,R readr,1000,0.047
messy2,247,Wise ParaText,1000,0.247
messy2,1000,I/O bandwidth,1000,1
